OOdist,OHOangle,E_hartree,E_kcalmol,E_kcalmol_scaled
2.5,120.7,-152.8678465,-95924.57367875,-2.7982885054462514
2.5,120.8,-152.86786899999998,-95924.58779749999,-2.8124072554284396
2.5,120.9,-152.86789149999998,-95924.60191624999,-2.8265260054284624
2.5,121.0,-152.86791399999998,-95924.61603499998,-2.8406447554284853
2.5,121.1,-152.86793649999998,-95924.63015375,-2.854763505428508
2.5,121.2,-152.86795899999998,-95924.6442725,-2.868882255428531
2.5,121.3,-152.867981872,-95924.65862468,-2.8832344354389505
2.5,121.4,-152.86800499199998,-95924.67313247999,-2.897742235426577
2.5,121.5,-152.868028112,-95924.68764028,-2.912250035432038
2.5,121.6,-152.868051232,-95924.70214808,-2.926757835437499
2.5,121.7,-152.868074352,-95924.71665588001,-2.94126563544296
2.5,121.8,-152.868097472,-95924.73116367999,-2.9557734354305865
2.5,121.9,-152.868120592,-95924.74567147999,-2.9702812354360475
2.5,122.0,-152.868143712,-95924.76017928,-2.9847890354415085
2.5,122.1,-152.86816683199999,-95924.77468707999,-2.999296835429135
2.5,122.2,-152.868189952,-95924.78919488,-3.013804635434596
2.5,122.3,-152.868213072,-95924.80370268,-3.028312435440057
2.5,122.4,-152.868236192,-95924.81821048,-3.042820235445518
2.5,122.5,-152.86825940476191,-95924.8327764881,-3.0573862435395682
2.5,122.6,-152.86828345238095,-95924.84786636905,-3.0724761244844245
2.5,122.7,-152.86830750000001,-95924.86295625001,-3.0875660054471155
2.5,122.8,-152.86833154761905,-95924.87804613095,-3.1026558863919718
2.5,122.9,-152.86835559523809,-95924.8931360119,-3.117745767336828
2.5,123.0,-152.86837964285715,-95924.90822589287,-3.132835648299519
2.5,123.1,-152.86840369047619,-95924.9233157738,-3.1479255292443753
2.5,123.2,-152.86842773809525,-95924.93840565477,-3.1630154102070662
2.5,123.3,-152.86845178571429,-95924.95349553571,-3.1781052911519225
2.5,123.4,-152.86847583333335,-95924.96858541667,-3.1931951721146135
2.5,123.5,-152.86849988095238,-95924.98367529763,-3.2082850530594698
2.5,123.6,-152.86852392857142,-95924.99876517856,-3.223374934004326
2.5,123.7,-152.86854797619048,-95925.01385505953,-3.238464814967017
2.5,123.8,-152.868572265625,-95925.02909667969,-3.2537064351286915
2.5,123.9,-152.868596796875,-95925.04449003907,-3.2690997945071842
2.5,124.0,-152.86862132812502,-95925.05988339844,-3.284493153885677
2.5,124.1,-152.868645859375,-95925.07527675781,-3.299886513246335
2.5,124.2,-152.868670390625,-95925.09067011719,-3.315279872624828
2.5,124.3,-152.868694921875,-95925.10606347656,-3.3306732320033205
2.5,124.4,-152.868719453125,-95925.12145683594,-3.3460665913818133
2.5,124.5,-152.86874398437502,-95925.13685019533,-3.361459950760306
2.5,124.6,-152.868768515625,-95925.15224355468,-3.376853310120964
2.5,124.7,-152.868793046875,-95925.16763691406,-3.392246669499457
2.5,124.8,-152.868817578125,-95925.18303027345,-3.4076400288779496
2.5,124.9,-152.868842109375,-95925.19842363281,-3.4230333882564423
2.5,125.0,-152.86886664062501,-95925.2138169922,-3.438426747634935
2.5,125.1,-152.86889179844962,-95925.22960352714,-3.4542132825772853
2.5,125.2,-152.8689172248062,-95925.24555856589,-3.470168321335265
2.5,125.3,-152.8689426511628,-95925.26151360465,-3.486123360093245
2.5,125.4,-152.86896807751938,-95925.27746864341,-3.502078398851225
2.5,125.5,-152.86899350387597,-95925.29342368217,-3.518033437609205
2.5,125.6,-152.86901893023256,-95925.30937872094,-3.5339884763671847
2.5,125.7,-152.86904435658914,-95925.32533375968,-3.5499435151251646
2.5,125.8,-152.86906978294573,-95925.34128879845,-3.5658985538831445
2.5,125.9,-152.86909520930232,-95925.3572438372,-3.5818535926411244
2.5,126.0,-152.86912063565893,-95925.37319887598,-3.597808631416939
2.5,126.1,-152.86914606201552,-95925.38915391473,-3.6137636701749187
2.5,126.2,-152.8691714883721,-95925.40510895349,-3.6297187089328986
